Date,Close/Last,Volume,Open,High,Low
02/04/2020,53.96,51878,54.15,55.64,53.69
02/03/2020,54.45,65537,55.85,56.76,54.07
01/31/2020,58.16,573,59.07,59.53,57.98
01/30/2020,58.29,9426,59.61,59.61,57.73
01/29/2020,59.81,19776,59.67,60.61,59.25
01/28/2020,59.51,39174,58.95,60.11,58.5
01/27/2020,59.32,37086,60.28,60.49,58.5
01/24/2020,60.69,32842,60.73,60.86,60.62
01/23/2020,62.04,40984,62.63,62.78,61.25
01/22/2020,63.21,34046,63.17,63.47,62.53
01/21/2020,64.59,49011,65.3,66,64.06
01/17/2020,64.85,34060,64.75,65.14,64.49
01/16/2020,64.62,36606,64.31,64.96,63.92
01/15/2020,64,33681,64.46,64.61,63.55
01/14/2020,64.49,34006,64.22,65.04,63.91
01/13/2020,64.2,34898,65.18,65.25,63.92
01/10/2020,64.98,45308,65.41,65.66,64.86
01/09/2020,65.37,49531,65.79,66.09,64.55
01/08/2020,65.44,83539,68.47,66.31,65.68
01/07/2020,68.27,40677,68.58,68.74,67.65
01/06/2020,68.91,51077,69.07,70.72,68.19
01/03/2020,68.6,76623,66.29,69.48,66.22
01/02/2020,66.25,25300,66.47,66.57,65.73
12/31/2019,66,30166,66.68,66.92,65.64
12/30/2019,68.44,2269,68.21,68.91,68.18
12/27/2019,68.16,6667,67.92,68.29,67.58
12/26/2019,67.92,10101,67.37,67.95,67.19
12/24/2019,67.2,16842,66.51,67.25,66.37
12/23/2019,66.39,19990,66.21,66.6,65.81
12/20/2019,66.14,31172,66.52,66.71,65.73
12/19/2019,66.54,27484,66.12,66.78,66.04
12/18/2019,66.17,30914,65.83,66.42,65.57
12/17/2019,66.1,33438,65.37,66.23,65.12
12/16/2019,65.34,30341,64.98,65.65,64.88
12/13/2019,65.22,33913,64.41,65.78,64.39
12/12/2019,64.2,32566,63.89,64.57,64.3
12/11/2019,63.72,30836,64.16,63.9,63.79
12/10/2019,64.34,30819,64,64.68,63.77
12/09/2019,64.25,30310,64.4,64.5,63.61
12/06/2019,64.39,41683,63.29,64.86,62.83
12/05/2019,63.39,37069,63.05,63.9,62.75
12/04/2019,63,40515,61.16,63.53,60.99
12/03/2019,60.82,31827,60.91,61.59,60.3
12/02/2019,60.92,37632,60.8,62.08,60.5
11/29/2019,62.43,2968,63.87,64.04,62.4
11/27/2019,64.06,12361,64.14,64.6,63.53
11/26/2019,64.27,19406,63.51,64.31,63.45
11/25/2019,63.65,24092,63.46,63.79,62.96
11/22/2019,63.39,30521,63.67,64.3,62.99
11/21/2019,63.97,32667,62.44,64.03,61.93
11/20/2019,62.4,37744,60.74,62.8,60.3
11/19/2019,60.91,30852,62.33,62.55,60.63
11/18/2019,62.44,27766,63.3,63.58,61.94
11/15/2019,63.3,30329,63.41,63.5,63.24
11/14/2019,62.28,26971,62.55,63.2,62.14
11/13/2019,62.37,32610,61.97,62.71,62.43
11/12/2019,62.06,29716,62.17,62.85,61.8
11/11/2019,62.18,22835,62.51,62.75,61.58
11/08/2019,62.51,1,62.51,62.51,62.51
11/07/2019,62.29,31721,61.78,62.36,62.06
11/06/2019,61.74,34345,61.78,61.98,61.68
11/05/2019,62.96,26787,62.06,63.17,61.9
11/04/2019,62.13,28320,62,62.78,61.29
11/01/2019,61.69,27821,59.55,61.81,59.4
10/31/2019,60.23,911,60.69,61.03,60.07
10/30/2019,60.61,8203,61.31,61.91,60.47
10/29/2019,61.59,14804,61.65,61.98,60.67
10/28/2019,61.57,22277,61.99,62.34,61.2
10/25/2019,62.02,28529,61.52,62.08,61.93
10/24/2019,61.67,31927,61.09,61.91,60.66
10/23/2019,61.17,35245,59.63,61.3,58.85
10/22/2019,59.7,32762,59.05,60.26,58.77
10/21/2019,58.96,33900,59.36,59.54,58.26
10/18/2019,59.42,32258,59.88,60.27,59
10/17/2019,59.91,43888,59.1,60.03,58.64
10/16/2019,59.42,41204,58.76,59.73,58.35
10/15/2019,58.74,48761,59.29,59.68,58
10/14/2019,59.35,37789,60.56,60.75,58.51
10/11/2019,60.51,50840,59.58,60.69,59.21
10/10/2019,59.1,35156,58.39,59.53,57.11
10/09/2019,58.32,35380,58.24,58.36,58.19
10/08/2019,58.24,37987,58.47,58.93,57.37
10/07/2019,58.35,28243,58.28,58.58,58.22
10/04/2019,58.37,41166,57.6,58.95,57.6
10/03/2019,57.71,46326,57.5,57.99,56.15
10/02/2019,57.69,39598,59.22,59.49,57.23
10/01/2019,58.89,39983,59.53,60.09,58.41
09/30/2019,60.78,801,61.88,62.08,60.77
09/27/2019,61.91,6930,62.53,62.72,60.77
09/26/2019,62.74,10186,62.58,62.92,61.46
09/25/2019,62.39,22920,62.43,62.81,61.22
09/24/2019,63.1,26817,64.48,64.53,62.35
09/23/2019,64.77,22643,65.32,65.32,63.54
09/20/2019,64.28,21494,64.98,65.27,64.05
09/19/2019,64.4,35586,63.65,65.57,63.47
09/18/2019,63.6,36559,64.25,63.69,63.45
09/17/2019,64.55,86039,66.76,66.78,63.56
09/16/2019,69.02,67806,68.57,69.67,67.58
09/13/2019,60.22,25712,60.41,60.8,59.6
09/12/2019,60.38,44041,61.03,61.39,58.91
09/11/2019,60.81,36364,62.68,63.25,60.52
09/10/2019,62.38,31529,62.74,63.77,62.17
09/09/2019,62.59,30493,61.54,62.99,61.54
09/06/2019,61.54,35099,60.81,61.88,59.41
09/05/2019,60.95,36766,60.51,62.39,60.25
09/04/2019,60.7,35248,58.24,60.96,58.09
09/03/2019,58.26,48849,58.68,59.22,57.22
08/30/2019,60.37,549,61.03,61.14,60.3
08/29/2019,61.08,5720,60.49,61.18,60.01
08/28/2019,60.49,15019,60.14,61.05,59.82
08/27/2019,59.51,27976,58.71,60.14,58.51
08/26/2019,58.7,24570,58.4,60.17,58.27
08/23/2019,59.34,40095,60.04,60.28,58.32
08/22/2019,59.92,31426,60.42,60.89,59.47
08/21/2019,60.3,31355,60.06,61.41,60.05
08/20/2019,60.03,29269,59.74,60.32,58.96
08/19/2019,59.74,29626,58.63,59.92,58.59
08/16/2019,58.64,24508,58.42,59.5,58.29
08/15/2019,58.23,44032,59.05,59.42,57.69
08/14/2019,59.48,42291,60.98,61.08,58.23
08/13/2019,61.3,44444,58.4,61.5,57.98
08/12/2019,58.57,29973,58.36,58.87,57.88
08/09/2019,58.53,32688,57.65,59.1,57.12
08/08/2019,57.38,36552,57.37,58.01,56.77
08/07/2019,56.23,51688,58.56,59.19,55.88
08/06/2019,58.94,33052,60,60.54,58.57
