"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Nov-2019","EQ","1,252.55","1,268.50","1,250.50","1,255.60","1,265.30","1,264.75","1,260.58","2,503.30","1,084.00",7143305,"9,004,703,936.15",87967
"08-Nov-2019","EQ","1,259.00","1,267.00","1,251.45","1,263.70","1,254.85","1,255.60","1,258.28","2,503.30","1,084.00",6625748,"8,337,070,329.90",123060
"07-Nov-2019","EQ","1,261.00","1,269.70","1,250.00","1,256.65","1,262.05","1,263.70","1,260.30","2,503.30","1,084.00",8481517,"10,689,227,499.00",158059
"06-Nov-2019","EQ","1,242.45","1,259.00","1,228.05","1,239.50","1,256.50","1,256.65","1,243.91","2,503.30","1,084.00",6065168,"7,544,516,054.50",106886
"05-Nov-2019","EQ","1,241.00","1,244.80","1,229.05","1,236.85","1,240.00","1,239.50","1,236.72","2,503.30","1,084.00",6183905,"7,647,753,429.00",116040
"04-Nov-2019","EQ","1,246.45","1,250.00","1,229.05","1,240.05","1,237.95","1,236.85","1,239.18","2,503.30","1,084.00",4967588,"6,155,741,415.20",160851
"01-Nov-2019","EQ","1,239.00","1,243.75","1,227.60","1,230.35","1,243.00","1,240.05","1,235.87","2,503.30","1,084.00",5756130,"7,113,824,716.75",144831
"31-Oct-2019","EQ","1,257.70","1,263.90","1,227.10","1,248.35","1,230.00","1,230.35","1,247.19","2,503.30","1,084.00",6608853,"8,242,505,540.00",149423
"30-Oct-2019","EQ","1,246.90","1,262.70","1,243.00","1,242.50","1,249.80","1,248.35","1,253.11","2,503.30","1,084.00",6005683,"7,525,760,735.85",153142
"29-Oct-2019","EQ","1,238.00","1,257.35","1,237.70","1,237.70","1,242.55","1,242.50","1,246.85","2,503.30","1,084.00",7116284,"8,872,915,232.80",163100
"27-Oct-2019","EQ","1,239.95","1,241.90","1,235.00","1,229.00","1,238.00","1,237.70","1,238.06","2,503.30","1,084.00",875425,"1,083,824,484.40",32899
"25-Oct-2019","EQ","1,240.00","1,246.85","1,220.00","1,236.10","1,227.90","1,229.00","1,234.93","2,503.30","1,084.00",6496771,"8,023,045,591.75",168865
"24-Oct-2019","EQ","1,248.00","1,254.15","1,226.35","1,241.60","1,235.00","1,236.10","1,241.78","2,503.30","1,084.00",6553747,"8,138,285,935.25",169086
"23-Oct-2019","EQ","1,246.85","1,249.75","1,233.00","1,239.30","1,245.00","1,241.60","1,242.17","2,503.30","1,084.00",5095107,"6,329,004,764.70",165735
"22-Oct-2019","EQ","1,257.00","1,257.00","1,232.60","1,229.00","1,239.90","1,239.30","1,244.30","2,503.30","1,084.00",10003114,"12,446,872,787.75",235749
"18-Oct-2019","EQ","1,225.45","1,233.85","1,220.35","1,220.00","1,229.00","1,229.00","1,227.68","2,503.30","1,084.00",5616903,"6,895,782,776.90",126554
"17-Oct-2019","EQ","1,227.50","1,229.85","1,213.10","1,221.10","1,221.50","1,220.00","1,221.84","2,503.30","1,084.00",6121807,"7,479,843,101.35",174349
"16-Oct-2019","EQ","1,231.65","1,235.00","1,210.10","1,223.05","1,221.50","1,221.10","1,222.27","2,503.30","1,084.00",5293408,"6,469,999,257.40",158557
"15-Oct-2019","EQ","1,207.00","1,225.00","1,206.85","1,204.40","1,223.70","1,223.05","1,217.66","2,503.30","1,084.00",4200187,"5,114,380,372.85",121277
"14-Oct-2019","EQ","1,209.00","1,219.90","1,197.40","1,198.80","1,204.40","1,204.40","1,211.27","2,503.30","1,084.00",6133901,"7,429,783,513.00",159516
"11-Oct-2019","EQ","1,213.40","1,224.00","1,188.95","1,200.55","1,198.15","1,198.80","1,206.12","2,503.30","1,084.00",8593159,"10,364,407,655.40",195427
"10-Oct-2019","EQ","1,221.80","1,225.95","1,197.20","1,228.15","1,203.00","1,200.55","1,204.54","2,503.30","1,084.00",5778429,"6,960,322,085.70",173146
