"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2019","EQ","394.50","394.50","387.55","394.20","390.00","390.05","390.26","409.55","256.50",8704774,"3,397,110,260.45",101453
"10-Apr-2019","EQ","395.55","398.80","392.70","397.15","393.50","394.20","395.63","409.55","256.50",14000018,"5,538,861,238.20",100370
"09-Apr-2019","EQ","387.40","398.35","387.15","387.10","397.15","397.15","392.60","409.55","256.50",13206348,"5,184,788,586.75",129055
"08-Apr-2019","EQ","391.45","391.45","385.00","390.55","387.15","387.10","388.41","409.55","256.50",6305407,"2,449,056,154.85",78174
"05-Apr-2019","EQ","389.25","392.50","385.60","388.75","391.75","390.55","388.82","409.55","256.50",10853927,"4,220,193,868.30",111727
"04-Apr-2019","EQ","394.40","395.70","387.30","392.10","388.90","388.75","391.00","409.55","256.50",14521564,"5,677,934,996.70",132792
"03-Apr-2019","EQ","399.00","402.80","390.65","397.15","392.55","392.10","397.01","409.55","256.50",12317200,"4,890,028,524.95",102453
"02-Apr-2019","EQ","400.00","400.00","393.45","398.25","398.55","397.15","395.93","409.55","256.50",13010810,"5,151,407,887.65",143555
"01-Apr-2019","EQ","401.45","409.55","395.75","400.50","397.00","398.25","404.53","409.55","256.50",16106604,"6,515,525,109.95",161156
"29-Mar-2019","EQ","402.15","402.40","395.10","400.55","399.10","400.50","399.11","402.40","256.50",18813782,"7,508,686,815.15",151307
"28-Mar-2019","EQ","392.75","401.90","392.75","393.20","399.05","400.55","398.93","401.90","256.50",23117485,"9,222,326,164.15",142957
"27-Mar-2019","EQ","395.40","398.45","390.15","394.10","392.50","393.20","394.23","400.95","256.50",17950017,"7,076,351,530.20",131353
"26-Mar-2019","EQ","384.95","395.50","383.40","383.50","394.70","394.10","389.46","400.95","256.50",14063632,"5,477,210,934.70",119816
"25-Mar-2019","EQ","387.95","387.95","382.50","391.80","383.40","383.50","384.41","400.95","256.50",12345034,"4,745,538,489.25",111683
"22-Mar-2019","EQ","394.45","396.30","390.00","392.90","391.45","391.80","392.90","400.95","256.50",17409249,"6,840,121,878.20",126720
"20-Mar-2019","EQ","397.60","398.15","392.20","398.40","393.90","392.90","394.49","400.95","256.50",14181408,"5,594,415,549.55",90450
"19-Mar-2019","EQ","398.40","400.95","393.90","398.05","397.85","398.40","398.15","400.95","256.50",11670392,"4,646,580,189.40",105497
"18-Mar-2019","EQ","396.25","399.90","393.50","395.30","399.65","398.05","396.52","399.90","256.50",21220626,"8,414,467,499.40",114855
"15-Mar-2019","EQ","388.85","398.25","388.10","387.90","395.80","395.30","394.71","398.25","256.50",31466545,"12,420,043,710.95",175791
"14-Mar-2019","EQ","392.00","393.00","386.80","391.90","388.00","387.90","389.17","393.25","256.50",13182462,"5,130,245,990.35",95874
